location,year,val,upper,lower
United States of America,2006,9.072591305,9.492350735,8.638898613
Canada,2007,4.204804553,4.488701188,3.936342494
China,2007,0.8814137238,0.9663146966,0.7995206645
Netherlands,2007,0.8406996368,0.9153395122,0.7789699072
United States of America,2007,9.44973749,9.849359799,9.002482068
Canada,2008,4.362702293,4.647650401,4.094444931
China,2008,0.8681145568,0.9503519713,0.7883129481
Netherlands,2008,0.8821674288,0.9577499503,0.8150187844
United States of America,2008,9.779857159,10.1660665,9.31445875
Canada,2009,4.517295795,4.812471833,4.26078155
China,2009,0.8522083101,0.9422549326,0.7720975343
Netherlands,2009,0.8874334052,0.9620396279,0.817617035
United States of America,2009,10.11930381,10.53457843,9.714008547
Canada,2010,4.694685436,4.99713736,4.436985372
China,2010,0.8269392902,0.9131462782,0.7464247134
Netherlands,2010,0.8765921526,0.9478219296,0.8073627409
United States of America,2010,10.45958146,10.85912532,10.04931509
Canada,2011,4.891250984,5.201706455,4.609546466
China,2011,0.80272843,0.9053598976,0.7207543959
Netherlands,2011,0.8901685147,0.9611684917,0.8199127892
United States of America,2011,11.06346916,11.51030519,10.62364964
Canada,2012,5.22463404,5.563489395,4.922510024
China,2012,0.7679460335,0.8669769253,0.6836563395
Netherlands,2012,0.9177138103,0.9884097238,0.8436321385
United States of America,2012,11.56170658,12.05763013,11.10850668
Canada,2013,5.604955038,5.989139533,5.269101205
China,2013,0.7445440435,0.8414872996,0.6615442759
Netherlands,2013,0.9403206667,1.014873141,0.8627208479
United States of America,2013,12.29540567,12.85692784,11.77862677
Canada,2014,6.175288628,6.613090631,5.789174954
China,2014,0.7236170307,0.8246057889,0.6385873378
Netherlands,2014,0.9708585681,1.054677472,0.8873073763
United States of America,2014,13.33253138,13.99406868,12.74116877
Canada,2015,7.085180626,7.563196683,6.637514584
China,2015,0.704159348,0.8066846895,0.6025629182
Netherlands,2015,1.043860115,1.132948028,0.9557266132
United States of America,2015,14.80245293,15.48922754,14.14906732
Canada,2016,8.162155052,8.712572611,7.596345175
China,2016,0.6913776526,0.7994769395,0.5940186673
Netherlands,2016,1.122265451,1.216795453,1.029745574
United States of America,2016,16.7335083,17.40646049,16.08108471
Canada,2017,9.318255338,9.956250298,8.643338642
China,2017,0.6926487516,0.8133389944,0.5873573827
Netherlands,2017,1.16824073,1.266455695,1.071864218
United States of America,2017,18.28037847,19.09455895,17.49697385
Canada,2018,9.601541614,10.30516302,8.901115317
China,2018,0.72853332,0.8570801685,0.6022003576
Netherlands,2018,1.19518688,1.303607622,1.095147271
United States of America,2018,18.94110322,19.93568248,18.02483639
Canada,2019,9.448830736,10.1686126,8.727062914
China,2019,0.7546632303,0.8929684536,0.621240657
Netherlands,2019,1.207046644,1.327163531,1.101972605
United States of America,2019,19.81966205,21.10022347,18.68183609
Canada,2020,9.683788635,10.47053663,8.885590738
China,2020,0.7817832983,0.9339872024,0.6405230025
Netherlands,2020,1.139965442,1.257896024,1.038220296
United States of America,2020,20.47221498,22.36735541,18.85505249
Canada,2021,9.487826757,10.31328684,8.690346701
China,2021,0.8070837633,0.9775052165,0.6521158612
Netherlands,2021,1.154710938,1.287109223,1.041563643
United States of America,2021,21.31204442,23.73823875,19.25397614
